state;postcode;locality;division
D;852;Costello;LINGIARI
D;852;Dorisvale Stn;LINGIARI
D;852;Elsey;LINGIARI
D;852;Hidden Valley Stn;LINGIARI
D;852;Kalala Stn;LINGIARI
D;852;Larrimah;LINGIARI
D;852;Mt Sanford;LINGIARI
D;852;Policemans Hole;LINGIARI
D;854;Cow Lagoon;LINGIARI
D;854;Doolgarina;LINGIARI
D;854;Wearyan River;LINGIARI
D;862;Arrawajin;LINGIARI
D;870;Aper-Alwerrknge;LINGIARI
D;870;Palmers Camp;LINGIARI
D;872;Aileron Stn;LINGIARI
D;872;Desert Bore;LINGIARI
D;872;Jemelke;LINGIARI
D;872;Jervois Stn;LINGIARI
D;872;Lucy Creek Stn;LINGIARI
D;872;McCormacks Camp;LINGIARI
D;872;Mt Denison Stn;LINGIARI
D;872;Mt Riddock Stn;LINGIARI
D;872;Mt Undoolya;LINGIARI
D;872;Narwietooma Stn;LINGIARI
D;872;Newhaven Reserve;LINGIARI
D;872;Pulardi;LINGIARI
D;872;Temple Bar Stn;LINGIARI
D;872;Tnerte;LINGIARI
D;872;Twetye A;LINGIARI
D;872;Undoolya Bore;LINGIARI
D;872;Werre-Therre;LINGIARI
D;872;Yambah Stn;LINGIARI
D;880;Bunhanura;LINGIARI
D;880;Yalliquin;LINGIARI
D;880;Yalukun;LINGIARI
D;6798;Christmas Island;LINGIARI
D;822;Bodia;LINGIARI
D;822;Charlotte;LINGIARI
D;822;Coomalie Creek;LINGIARI
D;822;Gamargawan;LINGIARI
D;822;Gumarrirnbang;LINGIARI
D;822;Langarra;LINGIARI
D;822;Mankorlod;LINGIARI
D;822;Nadirri;LINGIARI
D;822;Naningbura Point;LINGIARI
D;822;Nanyingburra;LINGIARI
D;822;Ngankorlord;LINGIARI
D;852;Bloodwood Downs Stn;LINGIARI
D;852;Manbulloo Stn;LINGIARI
D;852;Murruning;LINGIARI
D;852;Muruning;LINGIARI
D;854;Vanderlin Island;LINGIARI
D;860;Blueberry Hill;LINGIARI
D;860;Munji-Marla;LINGIARI
D;870;Armitjira Camp;LINGIARI
D;870;Hoppys Camp;LINGIARI
D;870;Lhenpa-Artne;LINGIARI
D;870;Ntalka Ulpaya;LINGIARI
D;872;Akanta;LINGIARI
D;872;Ankweleyelengkwe;LINGIARI
D;872;Anmatjere;LINGIARI
D;872;Elitjia;LINGIARI
D;872;Gilbert Springs;LINGIARI
D;872;Iteyepintye;LINGIARI
D;872;Lilla Creek Stn;LINGIARI
D;872;Lyndavale Stn;LINGIARI
D;872;Neutral Junction Stn;LINGIARI
D;872;Palmer Valley Stn;LINGIARI
D;872;The Garden Stn;LINGIARI
D;872;Urlampe;LINGIARI
D;880;Drimmie Head;LINGIARI
D;885;Little Paradise;LINGIARI
D;885;Ngadumiyerrka;LINGIARI
D;822;Cox Peninsula;LINGIARI
D;822;Freds Pass;LINGIARI
D;822;Kilfoyle Plains;LINGIARI
D;822;Mamukala;LINGIARI
D;822;Marion Hill;LINGIARI
D;822;Mirrnatja;LINGIARI
D;822;Mumukala;LINGIARI
D;822;Nemarluk;LINGIARI
D;822;Wooliana;LINGIARI
D;852;Delamere Stn;LINGIARI
D;852;Hayfield Shenandoah Stn;LINGIARI
D;852;Hayfield Stn;LINGIARI
D;852;Mataranka Town Camp;LINGIARI
D;852;Mataranka Transient Camp;LINGIARI
D;852;Newry Stn;LINGIARI
D;852;Sunday Creek Stn;LINGIARI
D;854;Devil Spring;LINGIARI
D;854;Goolminyini;LINGIARI
D;854;Two Dollar Creek;LINGIARI
D;862;Alroy Downs Stn;LINGIARI
D;862;Newcastle Waters Stn;LINGIARI
D;862;Tennant Creek Stn;LINGIARI
D;872;Hale;LINGIARI
D;872;Lake Nash Stn;LINGIARI
D;872;Napperby Stn;LINGIARI
D;872;Undurana;LINGIARI
D;872;Wakurlpu;LINGIARI
D;880;Barraratjpi;LINGIARI
D;880;Bukudal;LINGIARI
D;880;Djarrakpi;LINGIARI
D;822;Ban Ban Springs;LINGIARI
D;822;Collett Creek;LINGIARI
D;822;Kapalga;LINGIARI
D;822;Paradale;LINGIARI
D;822;Perrederr;LINGIARI
D;822;Yinyikay;LINGIARI
D;852;Killarney Stn;LINGIARI
D;852;Margaret Downs Stn;LINGIARI
D;852;Mistake Creek Stn;LINGIARI
D;852;Walker River;LINGIARI
D;854;Greenbank Stn;LINGIARI
D;862;Brunchilly Stn;LINGIARI
D;862;Connells Lagoon;LINGIARI
D;862;Kurundi Stn;LINGIARI
D;872;Artekerr;LINGIARI
D;872;Mt Eaglebeak;LINGIARI
D;872;Ngkwarlalanima;LINGIARI
D;872;Three Bores;LINGIARI
D;872;Ti Tree Stn;LINGIARI
D;872;Utopia;LINGIARI
D;880;Barrkira;LINGIARI
D;822;Ankabadbirri;LINGIARI
D;822;Araru Point;LINGIARI
D;822;Cobourg Peninsula;LINGIARI
D;822;Ji-Balbal;LINGIARI
D;822;Point Stuart;LINGIARI
D;852;Cave Creek Stn;LINGIARI
D;852;Gulardi;LINGIARI
D;852;Helen Springs Stn;LINGIARI
D;852;Kewulyi;LINGIARI
D;852;Roper Valley Stn;LINGIARI
D;862;Kalinjarri;LINGIARI
D;862;Karlinjaringi;LINGIARI
D;870;Undoolya Stn;LINGIARI
D;872;Blacktank Bore;LINGIARI
D;880;Yangumbi;LINGIARI
D;880;Yanungbi;LINGIARI
D;822;Cannon Hill;LINGIARI
D;822;Ji-Bena;LINGIARI
D;822;Manthathpe;LINGIARI
D;847;Pine Creek Compound;LINGIARI
D;847;Pine Creek Town Camp;LINGIARI
D;847;Red Gum Camp;LINGIARI
D;852;Auvergne Stn;LINGIARI
D;852;Montejinni Stn;LINGIARI
D;854;Manangoora;LINGIARI
D;854;Wallaces Outstation;LINGIARI
D;854;Wonmurri;LINGIARI
D;872;Adelaide Bore;LINGIARI
D;872;Sandy Bore;LINGIARI
D;872;Turners Camp;LINGIARI
